Wavelength [nm],Spectral Irradiance for tu-berlin00004 [W/sqm*nm],Spectral Irradiance for tu-berlin00005 [W/sqm*nm],Spectral Irradiance for tu-berlin00006 [W/sqm*nm]
672,1.054268,0.041166,0.636311
673,1.052242,0.029840,0.626593
674,1.059769,0.035305,0.626228
675,1.063523,0.036711,0.628014
676,1.065298,0.036498,0.630468
677,1.062796,0.034952,0.632202
678,1.060757,0.038614,0.632281
679,1.059135,0.046704,0.630953
680,1.063680,0.050090,0.637258
681,1.065680,0.049723,0.641276
682,1.061823,0.042446,0.639781
683,1.064620,0.053736,0.640615
684,1.068899,0.069369,0.642002
685,1.068433,0.072750,0.641771
686,1.067666,0.061631,0.638359
687,1.066614,0.037658,0.632137
688,1.057188,0.043341,0.636620
689,1.052033,0.045379,0.637100
690,1.055994,0.037262,0.628770
691,1.047486,0.042460,0.627882
692,1.037323,0.048732,0.629448
693,1.041176,0.036134,0.630530
694,1.039258,0.030892,0.633779
695,1.032699,0.031708,0.638687
696,1.034017,0.036999,0.635788
697,1.032479,0.040935,0.633338
698,1.025192,0.042062,0.632371
699,1.018276,0.040641,0.637005
700,1.011950,0.038837,0.641867
701,1.007795,0.039419,0.638390
702,1.000004,0.037613,0.636645
703,0.989514,0.033909,0.636365
704,0.978194,0.031541,0.637226
705,0.968298,0.030749,0.636507
706,0.961166,0.032786,0.632605
707,0.952840,0.038700,0.641010
708,0.944171,0.043581,0.649790
709,0.935178,0.035124,0.636627
710,0.926122,0.034823,0.634424
711,0.917199,0.040422,0.640233
712,0.911710,0.039819,0.645594
713,0.904371,0.033805,0.646162
714,0.894335,0.020457,0.640282
715,0.887285,0.034798,0.637719
716,0.881161,0.047604,0.638965
717,0.875347,0.043217,0.648773
718,0.867346,0.042827,0.649806
719,0.858526,0.044306,0.647013
720,0.850114,0.046597,0.644584
721,0.846583,0.045747,0.645855
722,0.847116,0.042278,0.650211
723,0.841549,0.044085,0.644371
724,0.836038,0.045348,0.642554
725,0.830816,0.045451,0.647510
726,0.825875,0.051761,0.650093
727,0.821114,0.055021,0.651102
728,0.815952,0.044857,0.649144
729,0.811994,0.042076,0.649379
730,0.808959,0.043616,0.650860
731,0.810049,0.056311,0.655894
732,0.807200,0.062995,0.658404
733,0.799453,0.062565,0.657872
734,0.799375,0.064022,0.660614
735,0.800947,0.064967,0.662930
736,0.802934,0.062682,0.661251
737,0.806990,0.068454,0.667202
738,0.812845,0.079962,0.678877
739,0.817420,0.077308,0.685073
740,0.826937,0.081329,0.690840
741,0.844861,0.097283,0.695576
742,0.854513,0.095847,0.701079
743,0.865800,0.091550,0.706070
744,0.884835,0.092934,0.705472
745,0.900629,0.087204,0.700718
746,0.915314,0.078839,0.693081
747,0.924583,0.110442,0.696288
748,0.938198,0.119272,0.698444
749,0.958611,0.094250,0.699039
750,0.970991,0.097577,0.702364
751,0.988640,0.109576,0.703634
752,1.018540,0.133783,0.698343
753,1.036268,0.134397,0.691957
754,1.047176,0.124725,0.684072
755,1.041965,0.113736,0.672962
756,1.054526,0.122560,0.670540
757,1.084177,0.150049,0.676286
758,1.079163,0.175640,0.681727
759,1.078255,0.177909,0.677093
760,1.084602,0.140218,0.655374
761,1.101688,0.151035,0.654258
762,1.115218,0.166666,0.652568
763,1.102859,0.157150,0.632351
764,1.087201,0.148569,0.617576
765,1.071146,0.143674,0.607575
766,1.064396,0.168276,0.612139
767,1.052667,0.159411,0.598390
768,1.037024,0.119247,0.567458
769,1.017752,0.157060,0.555157
770,0.988543,0.172907,0.546451
771,0.945771,0.153430,0.542655
772,0.929093,0.154003,0.514021
773,0.918823,0.162796,0.487514
774,0.910937,0.184227,0.477618
775,0.909045,0.161380,0.460767
776,0.913695,0.121342,0.447161
777,0.944302,0.137505,0.495499
778,0.952473,0.135082,0.508054
779,0.938507,0.113730,0.486007
780,0.935446,0.195637,0.499459

File,x,y,R (lin),G (lin),B (lin),R (gamma),G (gamma),B (gamma)
tu-berlin00004,0.600135,0.376664,1.336641,0.124401,-0.018643,255,99,0
tu-berlin00005,0.165540,0.203058,-0.054834,0.149463,0.384817,0,108,167
tu-berlin00006,0.371081,0.356699,0.620111,0.383748,0.281830,206,166,145
