Lambda	tu-berlin00004	tu-berlin00005	tu-berlin00006
439.0	0.017275	0.316532	0.283865
440.0	0.009820	0.323443	0.285309
441.0	0.000000	0.331645	0.288851
442.0	0.000000	0.338981	0.292457
443.0	0.001667	0.339064	0.290772
444.0	0.004753	0.340670	0.289626
445.0	0.000000	0.343844	0.288857
446.0	0.000185	0.344575	0.291224
447.0	0.008771	0.346133	0.293913
448.0	0.015513	0.358583	0.297453
449.0	0.010955	0.363340	0.292574
450.0	0.000000	0.362752	0.281274
451.0	0.004985	0.368560	0.280236
452.0	0.012920	0.374341	0.282437
453.0	0.013824	0.378606	0.290859
454.0	0.011862	0.380994	0.291538
455.0	0.007594	0.382038	0.286269
456.0	0.010844	0.386109	0.290969
457.0	0.013711	0.391228	0.296341
458.0	0.012109	0.398588	0.299736
459.0	0.018693	0.403950	0.302650
460.0	0.031025	0.407923	0.305238
461.0	0.019415	0.408804	0.303058
462.0	0.012021	0.409031	0.299865
463.0	0.016745	0.408199	0.295144
464.0	0.013228	0.412733	0.295509
465.0	0.006414	0.419106	0.298002
466.0	0.006130	0.415852	0.296453
467.0	0.009045	0.413006	0.296869
468.0	0.016540	0.410488	0.300005
469.0	0.016877	0.412795	0.303323
470.0	0.015380	0.416343	0.306348
471.0	0.017716	0.418078	0.307146
472.0	0.021150	0.419025	0.306682
473.0	0.026057	0.419068	0.304674
474.0	0.028180	0.418123	0.308344
475.0	0.029977	0.418176	0.312662
476.0	0.032898	0.424870	0.311954
477.0	0.035636	0.426059	0.310290
478.0	0.038239	0.421531	0.307586
479.0	0.040019	0.419685	0.309990
480.0	0.041848	0.417023	0.311255
481.0	0.043690	0.411031	0.305823
482.0	0.044418	0.408930	0.303210
483.0	0.044327	0.409701	0.302636
484.0	0.052369	0.406371	0.309507
485.0	0.056901	0.402091	0.311240
486.0	0.052436	0.396349	0.300535
487.0	0.053167	0.394030	0.300903
488.0	0.056698	0.393434	0.306698
489.0	0.064236	0.394277	0.309507
490.0	0.067209	0.395012	0.311807
491.0	0.062546	0.395532	0.313209
492.0	0.067482	0.395556	0.314643
493.0	0.073795	0.393789	0.314778
494.0	0.064621	0.379586	0.304607
495.0	0.061883	0.370511	0.302380
496.0	0.066829	0.367915	0.309616
497.0	0.061356	0.360719	0.310324
498.0	0.057106	0.355429	0.312544
