Probenname,XYZ Diff (X),XYZ Diff (Y),XYZ Diff (Z),XYZ % Diff (X),XYZ % Diff (Y),XYZ % Diff (Z),xy Diff (x),xy Diff (y),xy % Diff (x),xy % Diff (y),sRGB Diff (R),sRGB Diff (G),sRGB Diff (B),sRGB % Diff (R),sRGB % Diff (G),sRGB % Diff (B),Lab Diff (L*),Lab Diff (a*),Lab Diff (b*),CIE76 ΔE,Urspruengliche Hex,Neue Hex
HB4 / WF4,0.008069,0.000863,0.029160,0.02,0.00,0.13,0.000070,0.000132,0.02,0.03,0.000059,0.000040,0.000374,0.01,0.01,0.08,0.000617,0.021829,0.050269,0.054808,#CF9F75,#CF9F75
HB4 / WF4.1,0.006574,0.000699,0.023811,0.02,0.00,0.14,0.000072,0.000144,0.02,0.04,0.000058,0.000038,0.000356,0.01,0.01,0.09,0.000596,0.021722,0.048889,0.053501,#B38F67,#B38F67
HB5 / WF5,0.006058,0.000699,0.021155,0.02,0.00,0.11,0.000056,0.000113,0.01,0.03,0.000051,0.000032,0.000297,0.01,0.01,0.07,0.000546,0.018074,0.040147,0.044031,#BF986C,#BF986C
HB6 / WF6,0.006394,0.000720,0.022585,0.02,0.00,0.15,0.000083,0.000147,0.02,0.04,0.000058,0.000041,0.000362,0.01,0.01,0.09,0.000674,0.021715,0.050529,0.055002,#B58161,#B58161
HB7 / WF7,0.005675,0.000728,0.018776,0.02,0.00,0.11,0.000056,0.000108,0.01,0.03,0.000050,0.000031,0.000288,0.01,0.01,0.07,0.000599,0.017028,0.038929,0.042494,#C18F65,#C18F65
HB8 / WF8,0.004827,0.000398,0.019112,0.04,0.00,0.21,0.000121,0.000236,0.03,0.06,0.000064,0.000048,0.000394,0.01,0.01,0.13,0.000597,0.028505,0.059402,0.065890,#78604F,#78604F
HB9 / WF9,0.003651,0.000381,0.013327,0.03,0.00,0.17,0.000092,0.000173,0.02,0.05,0.000050,0.000035,0.000307,0.01,0.01,0.11,0.000561,0.020298,0.045492,0.049818,#7F6048,#7F6048
S1,0.008997,0.000670,0.036660,0.02,0.00,0.18,0.000097,0.000183,0.02,0.05,0.000061,0.000048,0.000510,0.01,0.01,0.12,0.000491,0.026801,0.068538,0.073594,#C4A06D,#C4A06D
S2,0.004544,0.000316,0.018832,0.03,0.00,0.26,0.000162,0.000257,0.04,0.07,0.000053,0.000054,0.000449,0.01,0.02,0.16,0.000517,0.027638,0.068630,0.073988,#7E5546,#7E5546
S3,0.024336,0.001072,0.109669,0.05,0.00,0.22,0.000132,0.000305,0.04,0.09,0.000141,0.000110,0.000830,0.02,0.01,0.12,0.000642,0.063606,0.113101,0.129761,#C2BEB1,#C2BEB0
S4,0.027050,0.001123,0.122879,0.06,0.00,0.24,0.000144,0.000339,0.04,0.10,0.000161,0.000125,0.000911,0.02,0.02,0.13,0.000688,0.072698,0.124540,0.144207,#BCBCB4,#BCBCB3
S5,0.023863,0.001010,0.108128,0.05,0.00,0.24,0.000140,0.000329,0.04,0.10,0.000149,0.000115,0.000854,0.02,0.02,0.13,0.000653,0.067669,0.117485,0.135581,#B6B5AB,#B6B5AB
WC1 / WF1,0.018802,0.001175,0.079823,0.03,0.00,0.15,0.000084,0.000175,0.02,0.05,0.000087,0.000066,0.000588,0.01,0.01,0.08,0.000542,0.036531,0.076528,0.084802,#F9DFB5,#F9DFB4
WC2 / WF2,0.020744,0.001232,0.088986,0.03,0.00,0.11,0.000065,0.000152,0.02,0.04,0.000097,0.000069,0.000509,0.01,0.01,0.06,0.000534,0.038438,0.066369,0.076698,#F4EBDB,#F4EBDB
WC3 / WF3,0.020790,0.001230,0.089240,0.03,0.00,0.11,0.000064,0.000153,0.02,0.04,0.000100,0.000070,0.000505,0.01,0.01,0.06,0.000542,0.039147,0.066017,0.076753,#F0E9DD,#F0E9DD
WC4 / WF4,0.019264,0.001077,0.083586,0.03,0.00,0.13,0.000075,0.000177,0.02,0.05,0.000104,0.000075,0.000534,0.01,0.01,0.07,0.000552,0.042295,0.071154,0.082777,#D9D2C9,#D9D2C9
WC5 / WF5,0.019683,0.001195,0.084061,0.03,0.00,0.13,0.000079,0.000171,0.02,0.05,0.000092,0.000070,0.000562,0.01,0.01,0.07,0.000550,0.038168,0.073536,0.082853,#F6E0C3,#F6E0C2
WC6 / WF6 ,0.020639,0.001227,0.088504,0.03,0.00,0.12,0.000071,0.000158,0.02,0.05,0.000095,0.000071,0.000529,0.01,0.01,0.06,0.000549,0.038700,0.069236,0.079320,#F8E4D4,#F8E4D4
WC7 / WF7,0.019890,0.001202,0.085017,0.03,0.00,0.12,0.000072,0.000160,0.02,0.05,0.000094,0.000070,0.000525,0.01,0.01,0.06,0.000554,0.038420,0.068923,0.078910,#F3DFCF,#F3DFCF
WC8 / WF8,0.019181,0.001176,0.081747,0.03,0.00,0.13,0.000078,0.000166,0.02,0.05,0.000091,0.000070,0.000540,0.01,0.01,0.07,0.000558,0.037861,0.071073,0.080530,#F4DAC4,#F4DAC4
WC9 / WF9,0.020890,0.001235,0.089692,0.03,0.00,0.11,0.000061,0.000145,0.02,0.04,0.000098,0.000070,0.000489,0.01,0.01,0.05,0.000535,0.038431,0.063777,0.074463,#F4EBE3,#F4EBE3
WC10 / WF10,0.021014,0.001246,0.090167,0.03,0.00,0.13,0.000078,0.000169,0.02,0.05,0.000098,0.000075,0.000556,0.01,0.01,0.07,0.000577,0.040607,0.073198,0.083709,#F5DECF,#F5DECF
WC11 / WF11,0.019047,0.001120,0.081863,0.03,0.00,0.13,0.000083,0.000174,0.02,0.05,0.000094,0.000075,0.000547,0.01,0.01,0.07,0.000572,0.039920,0.072911,0.083126,#EBCEC3,#EBCEC2
WC12 / WF12,0.026351,0.001376,0.115710,0.03,0.00,0.15,0.000088,0.000198,0.03,0.06,0.000118,0.000092,0.000660,0.01,0.01,0.08,0.000617,0.049849,0.086621,0.099943,#F5E4DC,#F5E4DB
L1,0.016014,0.001039,0.067433,0.02,0.00,0.08,0.000044,0.000111,0.01,0.03,0.000082,0.000053,0.000366,0.01,0.01,0.04,0.000459,0.030253,0.047691,0.056479,#E9EAE4,#E9EAE4
