Sample Name,Original XYZ (X),Original XYZ (Y),Original XYZ (Z),New XYZ (X),New XYZ (Y),New XYZ (Z),XYZ diff (X),XYZ diff (Y),XYZ diff (Z),XYZ % diff (X),XYZ % diff (Y),XYZ % diff (Z),Original xy (x),Original xy (y),New xy (x),New xy (y),xy diff (x),xy diff (y),xy % diff (x),xy % diff (y),Original sRGB (R),Original sRGB (G),Original sRGB (B),New sRGB (R),New sRGB (G),New sRGB (B),sRGB diff (R),sRGB diff (G),sRGB diff (B),sRGB % diff (R),sRGB % diff (G),sRGB % diff (B),Original Lab (L*),Original Lab (a*),Original Lab (b*),New Lab (L*),New Lab (a*),New Lab (b*),Lab diff (L*),Lab diff (a*),Lab diff (b*),CIE76 ΔE,Original Hex,New Hex
r3s1,44.355317,41.501683,8.476260,44.349500,41.501027,8.455722,0.005817,0.000656,0.020538,0.013115,0.001580,0.242301,0.470198,0.439948,0.470271,0.440067,0.000073,0.000119,0.015523,0.027061,0.884533,0.628029,0.188508,0.884494,0.628058,0.187757,0.000039,0.000029,0.000751,0.004444,0.004572,0.398573,70.525986,14.871104,63.785319,70.525531,14.856112,63.853562,0.000456,0.014991,0.068243,0.069872,#E1A030,#E1A02F
r3s2,33.020671,43.418165,11.563595,33.015329,43.417711,11.542620,0.005343,0.000454,0.020975,0.016180,0.001045,0.181388,0.375225,0.493375,0.375278,0.493520,0.000053,0.000145,0.014246,0.029385,0.622128,0.734895,0.252905,0.622077,0.734918,0.252352,0.000050,0.000023,0.000552,0.008096,0.003099,0.218361,71.837873,-27.116508,56.732044,71.837567,-27.134148,56.788817,0.000306,0.017640,0.056773,0.059451,#9EBB40,#9EBB40
r3s3,8.800400,6.678886,14.900832,8.789158,6.678212,14.852707,0.011242,0.000674,0.048125,0.127750,0.010095,0.322967,0.289676,0.219844,0.289879,0.220257,0.000203,0.000413,0.070023,0.187911,0.362719,0.237989,0.421955,0.362536,0.238190,0.421269,0.000183,0.000202,0.000687,0.050566,0.084687,0.162740,31.064415,23.335485,-21.919996,31.062831,23.245947,-21.811651,0.001584,0.089538,0.108345,0.140564,#5C3C6B,#5C3C6B
r3s4,27.806523,19.034268,14.159094,27.797173,19.033589,14.120750,0.009350,0.000679,0.038344,0.033625,0.003567,0.270811,0.455845,0.312038,0.456054,0.312274,0.000208,0.000237,0.045712,0.075794,0.759792,0.338034,0.390519,0.759728,0.338143,0.389917,0.000064,0.000108,0.000602,0.008422,0.032089,0.154101,50.727273,44.307032,13.720815,50.726480,44.273244,13.810997,0.000793,0.033788,0.090182,0.096307,#C15663,#C15663
r3s5,13.721768,11.945508,39.039313,13.708646,11.944806,38.981940,0.013122,0.000703,0.057372,0.095627,0.005882,0.146960,0.212061,0.184610,0.212092,0.184803,0.000031,0.000192,0.014419,0.104263,0.285773,0.361273,0.662115,0.285498,0.361418,0.661653,0.000275,0.000146,0.000462,0.096119,0.040316,0.069823,41.129383,16.050000,-43.584687,41.128263,15.971192,-43.516982,0.001120,0.078808,0.067705,0.103903,#485CA8,#485CA8
r3s6,35.693090,28.633434,6.576387,35.687778,28.632865,6.557210,0.005312,0.000569,0.019177,0.014882,0.001987,0.291606,0.503408,0.403840,0.503511,0.403975,0.000103,0.000135,0.020466,0.033366,0.845438,0.477731,0.193053,0.845401,0.477768,0.192369,0.000037,0.000038,0.000684,0.004399,0.007864,0.354071,60.456744,31.177549,53.351594,60.456238,31.161836,53.427070,0.000506,0.015713,0.075476,0.077096,#D77931,#D77931
r4s1,31.080926,42.563453,44.820477,31.067575,42.562888,44.759981,0.013351,0.000565,0.060497,0.042955,0.001329,0.134976,0.262364,0.359292,0.262416,0.359513,0.000052,0.000221,0.019872,0.061524,0.395083,0.745710,0.668352,0.394906,0.745770,0.667871,0.000177,0.000061,0.000482,0.044864,0.008121,0.072070,71.257669,-31.637645,1.667372,71.257283,-31.685309,1.733673,0.000386,0.047664,0.066301,0.081657,#64BEAA,#64BEAA
r4s2,24.685322,23.426128,43.848711,24.669647,23.425257,43.780631,0.015675,0.000871,0.068079,0.063498,0.003720,0.155259,0.268435,0.254742,0.268512,0.254967,0.000077,0.000225,0.028552,0.088385,0.507678,0.504733,0.686815,0.507513,0.504848,0.686292,0.000164,0.000115,0.000523,0.032388,0.022688,0.076177,55.508581,10.782745,-24.403136,55.507694,10.719031,-24.328189,0.000887,0.063714,0.074947,0.098373,#8180AF,#8180AF
r4s3,11.148607,13.851941,7.385900,11.144713,13.851736,7.368814,0.003894,0.000204,0.017087,0.034930,0.001474,0.231341,0.344237,0.427708,0.344342,0.427982,0.000105,0.000274,0.030503,0.063981,0.367982,0.430011,0.262491,0.367922,0.430046,0.262060,0.000060,0.000035,0.000431,0.016263,0.008135,0.164208,44.019844,-13.951698,21.916123,44.019549,-13.978928,21.978562,0.000295,0.027230,0.062439,0.068119,#5D6D42,#5D6D42
r4s4,17.426477,18.530107,33.686501,17.414660,18.529552,33.633736,0.011818,0.000556,0.052765,0.067815,0.002999,0.156636,0.250226,0.266072,0.250290,0.266314,0.000064,0.000241,0.025741,0.090618,0.368603,0.476261,0.608006,0.368427,0.476355,0.607531,0.000176,0.000094,0.000475,0.047649,0.019817,0.078059,50.132859,-1.006120,-21.245892,50.132198,-1.067494,-21.176369,0.000661,0.061374,0.069523,0.092740,#5D799B,#5D799A
