Sample Name,XYZ diff (X),XYZ diff (Y),XYZ diff (Z),XYZ % diff (X),XYZ % diff (Y),XYZ % diff (Z),xy diff (x),xy diff (y),xy % diff (x),xy % diff (y),sRGB diff (R),sRGB diff (G),sRGB diff (B),sRGB % diff (R),sRGB % diff (G),sRGB % diff (B),Lab diff (L*),Lab diff (a*),Lab diff (b*),CIE76 ΔE,Original Hex,New Hex
HB2 / WF2,0.009765,0.000921,0.037032,0.018324,0.001734,0.102635,0.000057,0.000118,0.015171,0.031767,0.000062,0.000041,0.000349,0.007134,0.005607,0.059493,0.000543,0.022844,0.046429,0.051747,#DDBA95,#DDBA95
HB3 / WF3,0.009402,0.000879,0.035770,0.023542,0.002314,0.155565,0.000088,0.000163,0.022111,0.043348,0.000067,0.000050,0.000445,0.008434,0.008106,0.094578,0.000648,0.026597,0.060675,0.066251,#CA9C78,#CA9C77
HB4 / WF4,0.008069,0.000863,0.029160,0.019327,0.002170,0.130476,0.000070,0.000132,0.017359,0.034522,0.000059,0.000040,0.000374,0.007255,0.006455,0.081366,0.000617,0.021829,0.050269,0.054808,#CF9F75,#CF9F75
HB4 / WF4.1,0.006574,0.000699,0.023811,0.021155,0.002290,0.138452,0.000072,0.000144,0.018302,0.037175,0.000058,0.000038,0.000356,0.008305,0.006682,0.087853,0.000596,0.021722,0.048889,0.053501,#B38F67,#B38F67
HB5 / WF5,0.006058,0.000699,0.021155,0.016995,0.002006,0.109710,0.000056,0.000113,0.014099,0.029092,0.000051,0.000032,0.000297,0.006845,0.005290,0.069564,0.000546,0.018074,0.040147,0.044031,#BF986C,#BF986C
HB6 / WF6,0.006394,0.000720,0.022585,0.021887,0.002712,0.149796,0.000083,0.000147,0.020040,0.039224,0.000058,0.000041,0.000362,0.008094,0.008151,0.094519,0.000674,0.021715,0.050529,0.055002,#B58161,#B58161
HB7 / WF7,0.005675,0.000728,0.018776,0.016517,0.002261,0.111698,0.000056,0.000108,0.013683,0.027943,0.000050,0.000031,0.000288,0.006615,0.005507,0.072448,0.000599,0.017028,0.038929,0.042494,#C18F65,#C18F65
HB8 / WF8,0.004827,0.000398,0.019112,0.035726,0.003041,0.205788,0.000121,0.000236,0.032087,0.064794,0.000064,0.000048,0.000394,0.013457,0.012603,0.126691,0.000597,0.028505,0.059402,0.065890,#78604F,#78604F
HB9 / WF9,0.003651,0.000381,0.013327,0.025670,0.002832,0.166150,0.000092,0.000173,0.022972,0.045821,0.000050,0.000035,0.000307,0.009938,0.009196,0.108415,0.000561,0.020298,0.045492,0.049818,#7F6048,#7F6048
S1,0.008997,0.000670,0.036660,0.023486,0.001748,0.182818,0.000097,0.000183,0.024438,0.046187,0.000061,0.000048,0.000510,0.007962,0.007555,0.118592,0.000491,0.026801,0.068538,0.073594,#C4A06D,#C4A06D
S2,0.004544,0.000316,0.018832,0.034690,0.002754,0.255741,0.000162,0.000257,0.039508,0.071468,0.000053,0.000054,0.000449,0.010624,0.016062,0.162908,0.000517,0.027638,0.068630,0.073988,#7E5546,#7E5546
S3,0.024336,0.001072,0.109669,0.049652,0.002065,0.223169,0.000132,0.000305,0.040377,0.088007,0.000141,0.000110,0.000830,0.018476,0.014639,0.119509,0.000642,0.063606,0.113101,0.129761,#C2BEB1,#C2BEB0
