wavelength,A,D65,D50
545.00000000,89.41240000,104.22500000,101.53600000
546.00000000,90.10969683,104.27253762,101.77879031
547.00000000,90.80833319,104.30455219,102.00634935
548.00000000,91.50828112,104.29489796,102.19061324
549.00000000,92.20951271,104.21742915,102.30351808
550.00000000,92.91200000,104.04600000,102.31700000
551.00000000,93.61571511,103.76373396,102.21298046
552.00000000,94.32063033,103.39083138,102.01332240
553.00000000,95.02671799,102.95676181,101.74987411
554.00000000,95.73395044,102.49099483,101.45448388
555.00000000,96.44230000,102.02300000,101.15900000
556.00000000,97.15174033,101.57679854,100.88891184
557.00000000,97.86225030,101.15461830,100.64427303
558.00000000,98.57381011,100.75323880,100.41877831
559.00000000,99.28639994,100.36943953,100.20612240
560.00000000,100.00000000,100.00000000,100.00000000
561.00000000,100.71458679,99.64099267,99.79427620
562.00000000,101.43012208,99.28566181,99.58349746
563.00000000,102.14656398,98.92654460,99.36238063
564.00000000,102.86387059,98.55617826,99.12564253
565.00000000,103.58200000,98.16710000,98.86800000
566.00000000,104.30091413,97.75708196,98.58939938
567.00000000,105.02059018,97.34483607,98.31070512
568.00000000,105.74100917,96.95430920,98.05801116
569.00000000,106.46215210,96.60944822,97.85741147
570.00000000,107.18400000,96.33420000,97.73500000
571.00000000,107.90653269,96.14627788,97.70981427
572.00000000,108.62972519,96.03846110,97.77266606
573.00000000,109.35355136,95.99729539,97.90731072
574.00000000,110.07798501,96.00932645,98.09750358
575.00000000,110.80300000,96.06110000,98.32700000
576.00000000,111.52857112,96.13390412,98.57493553
577.00000000,112.25467705,96.18799631,98.80196663
578.00000000,112.98129741,96.17837644,98.96412996
579.00000000,113.70841185,96.06004439,99.01746219
580.00000000,114.43600000,95.78800000,98.91800000
581.00000000,115.16403883,95.33076085,98.63472360
582.00000000,115.89249462,94.71091525,98.18838742
583.00000000,116.62133101,93.96456924,97.61268944
584.00000000,117.35051159,93.12782881,96.94132764
585.00000000,118.08000000,92.23680000,96.20800000
586.00000000,118.80976156,91.33122529,95.45206606
587.00000000,119.53976846,90.46539308,94.73553168
588.00000000,120.26999457,89.69722821,94.12606426
589.00000000,121.00041379,89.08465557,93.69133123
590.00000000,121.73100000,88.68560000,93.49900000
591.00000000,122.46173092,88.53738998,93.59314814
592.00000000,123.19259955,88.59496844,93.92349385
593.00000000,123.92360272,88.79268191,94.41616550
594.00000000,124.65473726,89.06487692,94.99729143
595.00000000,125.38600000,89.34590000,95.59300000
596.00000000,126.11737876,89.58146277,96.14128537
597.00000000,126.84882533,89.76273716,96.62760490
598.00000000,127.58028253,89.89226016,97.04928175
599.00000000,128.31169316,89.97256877,97.40363906
600.00000000,129.04300000,90.00620000,97.68800000
601.00000000,129.77415406,89.99760773,97.90378237
602.00000000,130.50513911,89.95891333,98.06878254
603.00000000,131.23594714,89.90415507,98.20489152
604.00000000,131.96657011,89.84737121,98.33400034
605.00000000,132.69700000,89.80260000,98.47800000
606.00000000,133.42722901,89.77867033,98.65143315
607.00000000,134.15725022,89.76357353,98.83944895
