MATLAB归一化系数k: 5.039520677078

波长(nm)	反射率	S(D65)	phi	x	y	z	phi*x	phi*y	phi*z
670	0.052437	0.909300	0.047681	0.087400	0.032000	0.000000	0.004167	0.001526	0.000000
675	0.036711	0.905800	0.033253	0.063600	0.023200	0.000000	0.002115	0.000771	0.000000
680	0.050090	0.902400	0.045202	0.046800	0.017000	0.000000	0.002115	0.000768	0.000000
685	0.072750	0.897700	0.065307	0.032900	0.011900	0.000000	0.002149	0.000777	0.000000
690	0.037262	0.893100	0.033279	0.022700	0.008200	0.000000	0.000755	0.000273	0.000000
695	0.031708	0.888500	0.028172	0.015800	0.005700	0.000000	0.000445	0.000161	0.000000
700	0.038837	0.885300	0.034382	0.011400	0.004100	0.000000	0.000392	0.000141	0.000000
705	0.030749	0.882300	0.027130	0.008100	0.002900	0.000000	0.000220	0.000079	0.000000
710	0.034823	0.879200	0.030616	0.005800	0.002100	0.000000	0.000178	0.000064	0.000000
715	0.034798	0.876200	0.030490	0.004100	0.001500	0.000000	0.000125	0.000046	0.000000
720	0.046597	0.873100	0.040684	0.002900	0.001100	0.000000	0.000118	0.000045	0.000000
725	0.045451	0.870100	0.039547	0.002000	0.000800	0.000000	0.000079	0.000032	0.000000
730	0.043616	0.867000	0.037815	0.001400	0.000600	0.000000	0.000053	0.000023	0.000000
735	0.064967	0.864200	0.056144	0.001000	0.000400	0.000000	0.000056	0.000022	0.000000
740	0.081329	0.861400	0.070057	0.000700	0.000300	0.000000	0.000049	0.000021	0.000000
745	0.087204	0.858500	0.074865	0.000500	0.000200	0.000000	0.000037	0.000015	0.000000
750	0.097577	0.855800	0.083507	0.000300	0.000200	0.000000	0.000025	0.000017	0.000000
755	0.113736	0.853100	0.097028	0.000200	0.000100	0.000000	0.000019	0.000010	0.000000
760	0.140218	0.850400	0.119241	0.000200	0.000100	0.000000	0.000024	0.000012	0.000000
765	0.143674	0.848100	0.121850	0.000100	0.000100	0.000000	0.000012	0.000012	0.000000
770	0.172907	0.845800	0.146245	0.000100	0.000000	0.000000	0.000015	0.000000	0.000000
775	0.161380	0.843500	0.136124	0.000100	0.000000	0.000000	0.000014	0.000000	0.000000
780	0.195637	0.841100	0.164550	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

Sum(phi*x) = 0.927215587007
Sum(phi*y) = 2.013598049242
Sum(phi*z) = 0.939486807542

X = k * Sum(phi*x) = 5.039520677078 * 0.927215587007 = 4.672722122831
Y = k * Sum(phi*y) = 5.039520677078 * 2.013598049242 = 10.147569004479
Z = k * Sum(phi*z) = 5.039520677078 * 0.939486807542 = 4.734563192447
