MODEL,SV15x1
TYPE,Irradiance
Number of datasets,1
Operator,
Memo,
Start Wavelength [nm],380
End Wavelength [nm],780
Number of points,401

Name,
Correction,
Integration Time [ms],96.450
Date,04/27/2023
Time,11:12:06am

Illuminance [lx],1742
Irradiance [W/sqm],8.595
x,0.3404
y,0.3147
u',0.2234
v',0.4647
CCT [K],5071
Duv,-0.018
DWl [nm],-529.9
PE [nm],8.6

CRI,
Ra,81.27
dc,0.02090
Re14,76.80
Re15,76.53
R1,76.78
R2,78.65
R3,86.79
R4,85.60
R5,77.48
R6,72.55
R7,87.95
R8,84.39
R9,52.33
R10,58.78
R11,83.90
R12,60.49
R13,74.95
R14,94.55
R15,72.83

RGB Values,
R,2435.74
G,1520.97
B,1770.03

Wavelength [nm],Spectral Irradiance [W/sqm*nm]
380,1.145297E-02
381,1.411678E-02
382,1.753541E-02
383,2.092322E-02
384,2.433383E-02
385,2.712705E-02
386,2.960034E-02
387,2.891910E-02
388,2.742781E-02
389,2.446826E-02
390,2.133154E-02
391,1.825756E-02
392,1.603445E-02
393,1.442260E-02
394,1.363975E-02
395,1.353307E-02
396,1.367324E-02
397,1.404464E-02
398,1.467504E-02
399,1.562261E-02
400,1.709137E-02
401,1.878588E-02
402,2.105836E-02
403,2.392561E-02
404,2.737583E-02
405,3.148942E-02
406,3.571728E-02
407,4.011137E-02
408,4.274772E-02
409,4.399908E-02
410,4.185582E-02
411,3.861837E-02
412,3.316905E-02
413,2.774659E-02
414,2.235325E-02
415,1.878373E-02
416,1.586663E-02
417,1.410345E-02
418,1.282998E-02
419,1.179466E-02
420,1.104172E-02
421,1.015909E-02
422,9.085542E-03
423,8.027517E-03
424,6.975402E-03
425,5.982754E-03
426,5.191336E-03
427,4.605217E-03
428,4.275323E-03
429,4.041833E-03
430,4.014956E-03
431,4.046895E-03
432,4.123651E-03
433,4.329497E-03
434,4.571323E-03
435,4.891625E-03
436,5.285108E-03
437,5.720798E-03
438,6.297593E-03
439,6.962395E-03
440,7.821503E-03
441,8.944086E-03
442,1.017812E-02
443,1.182177E-02
444,1.374267E-02
445,1.612023E-02
446,1.896703E-02
447,2.195544E-02
448,2.552436E-02
449,2.932316E-02
450,3.345377E-02
451,3.727773E-02
452,4.073554E-02
453,4.317360E-02
454,4.480100E-02
455,4.572035E-02
456,4.532038E-02
457,4.452759E-02
458,4.305151E-02
459,4.169877E-02
460,4.044433E-02
461,4.000133E-02
462,3.999627E-02
463,4.082358E-02
464,4.214975E-02
465,4.371544E-02
466,4.595583E-02
467,4.809605E-02
468,5.011375E-02
469,5.162904E-02
470,5.286419E-02
471,5.313582E-02
472,5.270958E-02
473,5.144750E-02
474,4.934493E-02
475,4.691359E-02
476,4.383867E-02
477,4.074701E-02
478,3.765653E-02
479,3.479910E-02
480,3.222414E-02
481,3.022837E-02
482,2.852007E-02
483,2.697591E-02
484,2.595400E-02
485,2.499462E-02
486,2.415610E-02
487,2.342636E-02
488,2.274298E-02
489,2.197655E-02
490,2.123429E-02
491,2.053562E-02
492,1.984382E-02
493,1.915664E-02
494,1.856411E-02
495,1.809388E-02
496,1.775927E-02
497,1.741624E-02
498,1.712129E-02
499,1.704214E-02
500,1.702784E-02
501,1.707191E-02
502,1.724563E-02
503,1.741137E-02
504,1.753081E-02
505,1.770881E-02
506,1.791808E-02
507,1.825168E-02
508,1.856654E-02
509,1.884492E-02
510,1.911770E-02
511,1.940539E-02
512,1.980533E-02
513,2.018158E-02
514,2.053028E-02
515,2.085626E-02
516,2.118095E-02
517,2.152328E-02
518,2.190371E-02
519,2.231258E-02
520,2.264808E-02
521,2.293993E-02
522,2.314055E-02
523,2.332638E-02
524,2.350206E-02
525,2.366610E-02
526,2.375652E-02
527,2.373743E-02
528,2.369436E-02
529,2.363025E-02
530,2.348605E-02
531,2.334095E-02
532,2.319862E-02
533,2.295776E-02
534,2.269494E-02
535,2.239747E-02
536,2.217260E-02
537,2.198687E-02
538,2.175501E-02
539,2.155181E-02
540,2.139336E-02
541,2.125355E-02
542,2.112198E-02
543,2.096566E-02
544,2.086062E-02
545,2.080789E-02
546,2.069383E-02
547,2.059712E-02
548,2.057891E-02
549,2.054935E-02
550,2.051436E-02
551,2.049781E-02
552,2.048358E-02
553,2.046938E-02
554,2.045673E-02
555,2.044722E-02
556,2.045474E-02
557,2.045226E-02
558,2.043623E-02
559,2.057389E-02
560,2.072549E-02
561,2.083935E-02
562,2.090262E-02
563,2.093459E-02
564,2.107034E-02
565,2.121008E-02
566,2.135189E-02
567,2.145740E-02
568,2.155901E-02
569,2.173007E-02
570,2.187708E-02
571,2.199695E-02
572,2.217273E-02
573,2.236388E-02
574,2.257922E-02
575,2.277804E-02
576,2.296582E-02
577,2.318156E-02
578,2.337575E-02
579,2.353589E-02
580,2.380726E-02
581,2.409180E-02
582,2.428933E-02
583,2.451958E-02
584,2.477937E-02
585,2.500484E-02
586,2.522828E-02
587,2.545473E-02
588,2.569215E-02
589,2.593326E-02
590,2.616359E-02
591,2.640378E-02
592,2.666843E-02
593,2.692640E-02
594,2.718257E-02
595,2.741997E-02
596,2.766354E-02
597,2.791395E-02
598,2.810616E-02
599,2.832500E-02
600,2.860139E-02
601,2.881215E-02
602,2.899876E-02
603,2.912593E-02
604,2.928107E-02
605,2.945738E-02
606,2.962754E-02
607,2.979553E-02
608,2.995585E-02
609,3.010987E-02
610,3.026470E-02
611,3.038656E-02
612,3.050483E-02
613,3.061500E-02
614,3.064274E-02
615,3.066468E-02
616,3.073926E-02
617,3.080213E-02
618,3.086070E-02
619,3.085664E-02
620,3.083212E-02
621,3.077637E-02
622,3.072895E-02
623,3.068269E-02
624,3.064791E-02
625,3.057642E-02
626,3.047703E-02
627,3.037883E-02
628,3.028315E-02
629,3.019780E-02
630,3.004879E-02
631,2.986576E-02
632,2.967504E-02
633,2.953314E-02
634,2.943923E-02
635,2.921382E-02
636,2.899670E-02
637,2.884109E-02
638,2.864001E-02
639,2.841253E-02
640,2.815029E-02
641,2.790858E-02
642,2.768639E-02
643,2.741973E-02
644,2.712752E-02
645,2.678362E-02
646,2.652434E-02
647,2.631111E-02
648,2.600754E-02
649,2.571168E-02
650,2.543101E-02
651,2.513107E-02
652,2.481757E-02
653,2.446944E-02
654,2.412355E-02
655,2.378027E-02
656,2.343288E-02
657,2.312087E-02
658,2.286243E-02
659,2.251139E-02
660,2.214467E-02
661,2.181488E-02
662,2.148908E-02
663,2.116790E-02
664,2.077781E-02
665,2.043804E-02
666,2.018588E-02
667,1.980093E-02
668,1.938958E-02
669,1.905843E-02
670,1.873291E-02
671,1.840537E-02
672,1.808570E-02
673,1.776546E-02
674,1.744072E-02
675,1.717182E-02
676,1.691143E-02
677,1.658976E-02
678,1.626304E-02
679,1.593561E-02
680,1.569484E-02
681,1.546294E-02
682,1.524360E-02
683,1.499916E-02
684,1.474581E-02
685,1.449034E-02
686,1.427541E-02
687,1.409334E-02
688,1.394368E-02
689,1.378945E-02
690,1.362144E-02
691,1.349149E-02
692,1.337822E-02
693,1.328874E-02
694,1.321156E-02
695,1.314349E-02
696,1.308040E-02
697,1.305628E-02
698,1.310002E-02
699,1.313990E-02
700,1.318461E-02
701,1.326959E-02
702,1.336312E-02
703,1.346281E-02
704,1.365939E-02
705,1.388596E-02
706,1.416185E-02
707,1.446738E-02
708,1.478658E-02
709,1.513106E-02
710,1.550770E-02
711,1.590727E-02
712,1.635624E-02
713,1.681263E-02
714,1.728187E-02
715,1.778821E-02
716,1.830946E-02
717,1.886021E-02
718,1.941994E-02
719,1.998798E-02
720,2.058383E-02
721,2.120991E-02
722,2.186353E-02
723,2.264430E-02
724,2.349125E-02
725,2.443464E-02
726,2.543436E-02
727,2.648669E-02
728,2.765715E-02
729,2.882156E-02
730,2.998141E-02
731,3.101554E-02
