MODEL,SV15x1
TYPE,Irradiance
Number of datasets,1
Operator,
Memo,
Start Wavelength [nm],380
End Wavelength [nm],780
Number of points,401

Name,
Correction,
Integration Time [ms],96.580
Date,04/27/2023
Time,11:11:12am

Illuminance [lx],1827
Irradiance [W/sqm],9.305
x,0.3886
y,0.3184
u',0.2572
v',0.4742
CCT [K],3182
Duv,-0.032
DWl [nm],-495.2
PE [nm],15.9

CRI,
Ra,73.70
dc,0.03165
Re14,67.14
Re15,67.45
R1,73.02
R2,68.49
R3,69.69
R4,86.99
R5,68.00
R6,51.26
R7,79.88
R8,92.23
R9,68.52
R10,34.49
R11,79.13
R12,14.85
R13,67.50
R14,85.85
R15,71.89

RGB Values,
R,3484.07
G,1336.13
B,1530.11

Wavelength [nm],Spectral Irradiance [W/sqm*nm]
380,1.146006E-02
381,1.414137E-02
382,1.751556E-02
383,2.078684E-02
384,2.392790E-02
385,2.650584E-02
386,2.879168E-02
387,2.817987E-02
388,2.669583E-02
389,2.363476E-02
390,2.051858E-02
391,1.750970E-02
392,1.529196E-02
393,1.367600E-02
394,1.287607E-02
395,1.264829E-02
396,1.264019E-02
397,1.290443E-02
398,1.345991E-02
399,1.436788E-02
400,1.563290E-02
401,1.708383E-02
402,1.909563E-02
403,2.163031E-02
404,2.467739E-02
405,2.827435E-02
406,3.200129E-02
407,3.600695E-02
408,3.831608E-02
409,3.929326E-02
410,3.731076E-02
411,3.435440E-02
412,2.941532E-02
413,2.454096E-02
414,1.971644E-02
415,1.661507E-02
416,1.404735E-02
417,1.241212E-02
418,1.129509E-02
419,1.042467E-02
420,9.772915E-03
421,8.980341E-03
422,7.980332E-03
423,7.080208E-03
424,6.205769E-03
425,5.330176E-03
426,4.612070E-03
427,4.052729E-03
428,3.718556E-03
429,3.476352E-03
430,3.449906E-03
431,3.509394E-03
432,3.636248E-03
433,3.803294E-03
434,4.004356E-03
435,4.302026E-03
436,4.655903E-03
437,5.041930E-03
438,5.584907E-03
439,6.200068E-03
440,6.974174E-03
441,7.918279E-03
442,8.937159E-03
443,1.045355E-02
444,1.216973E-02
445,1.422278E-02
446,1.675780E-02
447,1.944207E-02
448,2.266353E-02
449,2.601234E-02
450,2.956863E-02
451,3.293074E-02
452,3.599040E-02
453,3.816605E-02
454,3.956793E-02
455,4.029410E-02
456,3.994858E-02
457,3.924881E-02
458,3.788382E-02
459,3.670065E-02
460,3.565149E-02
461,3.521188E-02
462,3.517319E-02
463,3.591102E-02
464,3.701565E-02
465,3.829796E-02
466,4.019922E-02
467,4.208081E-02
468,4.396199E-02
469,4.529562E-02
470,4.634707E-02
471,4.655707E-02
472,4.619923E-02
473,4.516022E-02
474,4.327875E-02
475,4.109640E-02
476,3.840277E-02
477,3.570035E-02
478,3.300392E-02
479,3.056350E-02
480,2.834865E-02
481,2.656320E-02
482,2.507973E-02
483,2.377208E-02
484,2.286320E-02
485,2.202798E-02
486,2.134128E-02
487,2.072658E-02
488,2.014010E-02
489,1.944429E-02
490,1.876134E-02
491,1.810411E-02
492,1.752723E-02
493,1.697356E-02
494,1.646819E-02
495,1.603628E-02
496,1.568713E-02
497,1.537675E-02
498,1.511519E-02
499,1.503486E-02
500,1.498230E-02
501,1.495765E-02
502,1.507258E-02
503,1.520298E-02
504,1.534399E-02
505,1.549649E-02
506,1.565404E-02
507,1.582234E-02
508,1.603066E-02
509,1.630889E-02
510,1.653398E-02
511,1.675473E-02
512,1.708161E-02
513,1.737051E-02
514,1.761623E-02
515,1.787502E-02
516,1.814867E-02
517,1.847539E-02
518,1.880327E-02
519,1.913138E-02
520,1.933634E-02
521,1.957156E-02
522,1.988979E-02
523,2.003650E-02
524,2.010224E-02
525,2.020942E-02
526,2.026916E-02
527,2.025696E-02
528,2.027627E-02
529,2.028039E-02
530,2.014991E-02
531,1.998892E-02
532,1.980386E-02
533,1.958711E-02
534,1.935835E-02
535,1.910137E-02
536,1.890921E-02
537,1.875220E-02
538,1.857662E-02
539,1.841713E-02
540,1.828233E-02
541,1.808629E-02
542,1.789309E-02
543,1.782144E-02
544,1.775439E-02
545,1.769367E-02
546,1.762770E-02
547,1.757549E-02
548,1.756672E-02
549,1.754032E-02
550,1.750447E-02
551,1.752145E-02
552,1.755702E-02
553,1.762057E-02
554,1.765620E-02
555,1.768700E-02
556,1.775569E-02
557,1.784947E-02
558,1.796713E-02
559,1.808668E-02
560,1.822679E-02
561,1.842659E-02
562,1.862603E-02
563,1.882303E-02
564,1.906382E-02
565,1.930908E-02
566,1.955915E-02
567,1.985751E-02
568,2.016581E-02
569,2.045158E-02
570,2.083347E-02
571,2.130838E-02
572,2.169037E-02
573,2.207633E-02
574,2.251771E-02
575,2.297304E-02
576,2.343518E-02
577,2.402361E-02
578,2.457066E-02
579,2.505564E-02
580,2.566769E-02
581,2.630617E-02
582,2.689959E-02
583,2.750297E-02
584,2.811608E-02
585,2.875274E-02
586,2.938104E-02
587,2.998637E-02
588,3.065491E-02
589,3.134950E-02
590,3.198895E-02
591,3.262395E-02
592,3.326805E-02
593,3.393978E-02
594,3.460582E-02
595,3.518818E-02
596,3.579842E-02
597,3.643294E-02
598,3.700053E-02
599,3.756230E-02
600,3.812417E-02
601,3.871051E-02
602,3.930550E-02
603,3.981488E-02
604,4.031543E-02
605,4.080092E-02
606,4.127102E-02
607,4.174676E-02
608,4.223287E-02
609,4.262542E-02
610,4.298148E-02
611,4.337090E-02
612,4.373356E-02
613,4.405693E-02
614,4.432483E-02
615,4.456457E-02
616,4.475268E-02
617,4.485371E-02
618,4.490121E-02
619,4.498175E-02
620,4.503898E-02
621,4.505824E-02
622,4.502963E-02
623,4.496779E-02
624,4.483304E-02
625,4.461827E-02
626,4.434069E-02
627,4.420364E-02
628,4.398613E-02
629,4.359064E-02
630,4.330279E-02
631,4.303304E-02
632,4.265751E-02
633,4.229103E-02
634,4.193203E-02
635,4.147041E-02
636,4.101051E-02
637,4.058742E-02
638,4.011542E-02
639,3.961915E-02
640,3.916092E-02
641,3.871976E-02
642,3.829202E-02
643,3.779192E-02
644,3.729431E-02
645,3.684405E-02
646,3.633738E-02
647,3.580590E-02
648,3.539625E-02
649,3.493670E-02
650,3.441607E-02
651,3.397542E-02
652,3.352537E-02
653,3.297333E-02
654,3.245476E-02
655,3.195978E-02
656,3.144336E-02
657,3.096056E-02
658,3.052790E-02
659,2.999495E-02
660,2.945954E-02
661,2.902689E-02
662,2.860324E-02
663,2.818839E-02
664,2.776431E-02
665,2.731930E-02
666,2.683640E-02
667,2.636305E-02
668,2.589226E-02
669,2.542397E-02
670,2.496243E-02
671,2.449750E-02
672,2.413484E-02
673,2.377096E-02
674,2.339227E-02
675,2.298534E-02
676,2.257437E-02
677,2.218946E-02
678,2.178810E-02
679,2.137765E-02
680,2.104712E-02
681,2.068713E-02
682,2.027029E-02
683,1.997134E-02
684,1.970337E-02
685,1.938633E-02
686,1.909725E-02
687,1.883061E-02
688,1.852149E-02
689,1.826448E-02
690,1.810533E-02
691,1.787445E-02
692,1.763978E-02
693,1.751615E-02
694,1.738873E-02
695,1.725754E-02
696,1.719396E-02
697,1.711730E-02
698,1.701235E-02
699,1.701368E-02
700,1.704695E-02
701,1.707419E-02
702,1.714318E-02
703,1.724554E-02
704,1.737300E-02
705,1.754974E-02
706,1.782404E-02
707,1.808853E-02
708,1.836093E-02
709,1.871457E-02
710,1.908939E-02
711,1.947827E-02
712,1.994337E-02
713,2.042860E-02
714,2.094500E-02
715,2.144745E-02
716,2.195910E-02
717,2.251384E-02
718,2.308189E-02
719,2.366504E-02
720,2.431876E-02
721,2.502009E-02
722,2.576478E-02
723,2.663373E-02
724,2.753552E-02
725,2.847786E-02
726,2.960544E-02
727,3.079614E-02
728,3.202891E-02
729,3.333334E-02
730,3.467383E-02
731,3.573617E-02
