MODEL,SV15x1
TYPE,Irradiance
Number of datasets,1
Operator,
Memo,
Start Wavelength [nm],380
End Wavelength [nm],780
Number of points,401

Name,
Correction,
Integration Time [ms],92.230
Date,04/27/2023
Time,11:11:41am

Illuminance [lx],1520
Irradiance [W/sqm],7.733
x,0.3203
y,0.2988
u',0.2155
v',0.4524
CCT [K],6267
Duv,-0.017
DWl [nm],-567.2
PE [nm],11.2

CRI,
Ra,76.60
dc,0.02049
Re14,70.59
Re15,70.20
R1,70.36
R2,74.68
R3,85.61
R4,79.07
R5,72.79
R6,69.84
R7,84.90
R8,75.52
R9,25.73
R10,50.01
R11,78.15
R12,59.10
R13,69.10
R14,93.43
R15,64.68

RGB Values,
R,1952.54
G,1353.00
B,1834.52

Wavelength [nm],Spectral Irradiance [W/sqm*nm]
380,1.117027E-02
381,1.364998E-02
382,1.712749E-02
383,2.047181E-02
384,2.358821E-02
385,2.625239E-02
386,2.867926E-02
387,2.804114E-02
388,2.656422E-02
389,2.357038E-02
390,2.050172E-02
391,1.753251E-02
392,1.537250E-02
393,1.376225E-02
394,1.289365E-02
395,1.267705E-02
396,1.272223E-02
397,1.318835E-02
398,1.383697E-02
399,1.471461E-02
400,1.596808E-02
401,1.742192E-02
402,1.948584E-02
403,2.211485E-02
404,2.529678E-02
405,2.909989E-02
406,3.302935E-02
407,3.718662E-02
408,3.969171E-02
409,4.089388E-02
410,3.895718E-02
411,3.598194E-02
412,3.088995E-02
413,2.579622E-02
414,2.071422E-02
415,1.753272E-02
416,1.490157E-02
417,1.322775E-02
418,1.206145E-02
419,1.113462E-02
420,1.036949E-02
421,9.556284E-03
422,8.673086E-03
423,7.693499E-03
424,6.690247E-03
425,5.788041E-03
426,5.042753E-03
427,4.454966E-03
428,4.130229E-03
429,3.895969E-03
430,3.835048E-03
431,3.879730E-03
432,4.008333E-03
433,4.254649E-03
434,4.510368E-03
435,4.777774E-03
436,5.200681E-03
437,5.715094E-03
438,6.284894E-03
439,6.963092E-03
440,7.883840E-03
441,9.016379E-03
442,1.023792E-02
443,1.191978E-02
444,1.387246E-02
445,1.627304E-02
446,1.914052E-02
447,2.216895E-02
448,2.596475E-02
449,2.992861E-02
450,3.415757E-02
451,3.802377E-02
452,4.153039E-02
453,4.411580E-02
454,4.582230E-02
455,4.676134E-02
456,4.638620E-02
457,4.562680E-02
458,4.421059E-02
459,4.285622E-02
460,4.156054E-02
461,4.122045E-02
462,4.127783E-02
463,4.206565E-02
464,4.349899E-02
465,4.523607E-02
466,4.744675E-02
467,4.955928E-02
468,5.155217E-02
469,5.316063E-02
470,5.451506E-02
471,5.477501E-02
472,5.431643E-02
473,5.299726E-02
474,5.072275E-02
475,4.813221E-02
476,4.508121E-02
477,4.190612E-02
478,3.864178E-02
479,3.570420E-02
480,3.303431E-02
481,3.086484E-02
482,2.911219E-02
483,2.760544E-02
484,2.645149E-02
485,2.540445E-02
486,2.458221E-02
487,2.383429E-02
488,2.311582E-02
489,2.228748E-02
490,2.149737E-02
491,2.077206E-02
492,2.009071E-02
493,1.941552E-02
494,1.876080E-02
495,1.820155E-02
496,1.774929E-02
497,1.738182E-02
498,1.707909E-02
499,1.698889E-02
500,1.692311E-02
501,1.688328E-02
502,1.694309E-02
503,1.702179E-02
504,1.712946E-02
505,1.727351E-02
506,1.743606E-02
507,1.763422E-02
508,1.784291E-02
509,1.806911E-02
510,1.827019E-02
511,1.847755E-02
512,1.878961E-02
513,1.906636E-02
514,1.930337E-02
515,1.959762E-02
516,1.988634E-02
517,2.011246E-02
518,2.037687E-02
519,2.066968E-02
520,2.089791E-02
521,2.111327E-02
522,2.130542E-02
523,2.143260E-02
524,2.152426E-02
525,2.154761E-02
526,2.154297E-02
527,2.149281E-02
528,2.141692E-02
529,2.132578E-02
530,2.119021E-02
531,2.100185E-02
532,2.076977E-02
533,2.052524E-02
534,2.027478E-02
535,2.000565E-02
536,1.973688E-02
537,1.946714E-02
538,1.919022E-02
539,1.896400E-02
540,1.881816E-02
541,1.867460E-02
542,1.852715E-02
543,1.831125E-02
544,1.816896E-02
545,1.810059E-02
546,1.802397E-02
547,1.794546E-02
548,1.786353E-02
549,1.777273E-02
550,1.767813E-02
551,1.762639E-02
552,1.759589E-02
553,1.759752E-02
554,1.759459E-02
555,1.758973E-02
556,1.757983E-02
557,1.755703E-02
558,1.751802E-02
559,1.759636E-02
560,1.768076E-02
561,1.772048E-02
562,1.779374E-02
563,1.788730E-02
564,1.799449E-02
565,1.805377E-02
566,1.802927E-02
567,1.808119E-02
568,1.816810E-02
569,1.832911E-02
570,1.845614E-02
571,1.854674E-02
572,1.869527E-02
573,1.884760E-02
574,1.898960E-02
575,1.910407E-02
576,1.920294E-02
577,1.941412E-02
578,1.959995E-02
579,1.974626E-02
580,1.992855E-02
581,2.011770E-02
582,2.030486E-02
583,2.049069E-02
584,2.067609E-02
585,2.081485E-02
586,2.096931E-02
587,2.117144E-02
588,2.134539E-02
589,2.150911E-02
590,2.173657E-02
591,2.192684E-02
592,2.207914E-02
593,2.233270E-02
594,2.257562E-02
595,2.267508E-02
596,2.286549E-02
597,2.312201E-02
598,2.325684E-02
599,2.342088E-02
600,2.364942E-02
601,2.380803E-02
602,2.394320E-02
603,2.404438E-02
604,2.420547E-02
605,2.442012E-02
606,2.456679E-02
607,2.470307E-02
608,2.482997E-02
609,2.492394E-02
610,2.500455E-02
611,2.506225E-02
612,2.515282E-02
613,2.528287E-02
614,2.532982E-02
615,2.536238E-02
616,2.541418E-02
617,2.546534E-02
618,2.551905E-02
619,2.550376E-02
620,2.548496E-02
621,2.546306E-02
622,2.543628E-02
623,2.540677E-02
624,2.538613E-02
625,2.534058E-02
626,2.527651E-02
627,2.513265E-02
628,2.500247E-02
629,2.491622E-02
630,2.484858E-02
631,2.477825E-02
632,2.467710E-02
633,2.452847E-02
634,2.433083E-02
635,2.421134E-02
636,2.408619E-02
637,2.392157E-02
638,2.376053E-02
639,2.359249E-02
640,2.332676E-02
641,2.310065E-02
642,2.291707E-02
643,2.270651E-02
644,2.248977E-02
645,2.227071E-02
646,2.204365E-02
647,2.181373E-02
648,2.159466E-02
649,2.136827E-02
650,2.113583E-02
651,2.086020E-02
652,2.057292E-02
653,2.027823E-02
654,2.002011E-02
655,1.978658E-02
656,1.949026E-02
657,1.920619E-02
658,1.894027E-02
659,1.865776E-02
660,1.836208E-02
661,1.802252E-02
662,1.775738E-02
663,1.754807E-02
664,1.722878E-02
665,1.691885E-02
666,1.662872E-02
667,1.638747E-02
668,1.614621E-02
669,1.582854E-02
670,1.553125E-02
671,1.524461E-02
672,1.495011E-02
673,1.467404E-02
674,1.443015E-02
675,1.416854E-02
676,1.390844E-02
677,1.368796E-02
678,1.345446E-02
679,1.321291E-02
680,1.300332E-02
681,1.278419E-02
682,1.254804E-02
683,1.236937E-02
684,1.220888E-02
685,1.204289E-02
686,1.185317E-02
687,1.164373E-02
688,1.151602E-02
689,1.139475E-02
690,1.127542E-02
691,1.118036E-02
692,1.108960E-02
693,1.097942E-02
694,1.089575E-02
695,1.083254E-02
696,1.084497E-02
697,1.084942E-02
698,1.083392E-02
699,1.086076E-02
700,1.090825E-02
701,1.100017E-02
702,1.108362E-02
703,1.115928E-02
704,1.130077E-02
705,1.148391E-02
706,1.174335E-02
707,1.200347E-02
708,1.226478E-02
709,1.253965E-02
710,1.285352E-02
711,1.319601E-02
712,1.357011E-02
713,1.394190E-02
714,1.431221E-02
715,1.476544E-02
716,1.521759E-02
717,1.562423E-02
718,1.609139E-02
719,1.659094E-02
720,1.711564E-02
721,1.764937E-02
722,1.819139E-02
723,1.885576E-02
724,1.955914E-02
725,2.031454E-02
726,2.119493E-02
727,2.210942E-02
728,2.302167E-02
729,2.398813E-02
730,2.498607E-02
731,2.590131E-02
